neighbor_modes,rates,nthreads,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
all,1,1,0.2940598075021204,0.19429524933407957,0.4984206554778698,0.1456818767281507,0.5993645213390537,0.5036830982477993,0.41498595869231064,0.35090482919894134
all,2,1,0.3738321757790038,0.2351168678409743,0.5349708024197656,0.151503607769865,0.601307588529289,0.5214540429703147,0.4364270601639912,0.37183218305794774
all,3,1,0.41194089962864394,0.2558934829521439,0.547175244911843,0.15828097027673016,0.6238353620694745,0.5281986706412305,0.4523320025966353,0.38879312633184626
all,4,1,0.4474389279074173,0.2729803471228431,0.5493087526643888,0.16093754112819328,0.6266185000019184,0.539132375170375,0.4667101439756284,0.39490106348487813
all,5,1,0.46054639597480285,0.2853172229198203,0.551170208032811,0.16338404489638972,0.6403395337578075,0.5270507093869792,0.48089887482475974,0.40341836433389683
all,6,1,0.4711546007592286,0.2883538010763093,0.5645583925383275,0.16596518625567774,0.6452101606753557,0.5311685027602159,0.4870997270112586,0.4098729259472667
all,7,1,0.4919401807700759,0.2966685891077195,0.572078283353031,0.1690185810831546,0.6438893247836036,0.5337578877565194,0.49684385297656003,0.4127384601617499
all,8,1,0.49052287828831653,0.3016482719425785,0.5649257952082755,0.17110321762675168,0.6520833563231493,0.5446837848162162,0.4960514759841681,0.4182675425385232
all,9,1,0.49284026418741883,0.3039623546332234,0.564783582254933,0.171798564146874,0.6728257124023748,0.5358352451430592,0.4986519211908175,0.4241566682915017
all,10,1,0.4904369230808904,0.30953138643133266,0.5594954705608944,0.1761310789305892,0.666031131577508,0.5401031963477186,0.5027509486948007,0.4206986715589724
all,20,1,0.5331413895558531,0.35225164431375366,0.5629166993412403,0.19204214821212523,0.6766077273969855,0.5243097102695543,0.5159579515337628,0.42736445188245903
all,30,1,0.5421989215218687,0.3743817361041228,0.5589821903590058,0.2034064619339261,0.7115699841893798,0.510400971132102,0.5109166699785307,0.43238131074679587
all,40,1,0.5809870001896856,0.3831277987683884,0.5556792455809034,0.20254862955749542,0.6966852364881341,0.5345597976087753,0.508060027445451,0.44223078113748515
all,50,1,0.5793370919548074,0.4066799455476899,0.5234421411687571,0.2080130013746618,0.6718812665388123,0.5284490151167084,0.5025614330883482,0.4351237222648875
all,60,1,0.5789200049502905,0.40871862783996277,0.5493399483106658,0.22129916655339524,0.6723271939656279,0.4575590214993083,0.5008390378924573,0.4377638792620012
all,70,1,0.5752888060668938,0.4072688171241811,0.553510830765162,0.21730385320338214,0.6417759292976316,0.5024881108185141,0.4968962356683094,0.43953311727443023
all,80,1,0.5746336342574527,0.42319727567649723,0.5513237789275762,0.22315169478349633,0.5940581123808905,0.457324439863499,0.4938892714345982,0.44375821474174476
all,90,1,0.5657491628442446,0.42291381086293195,0.5511100628232724,0.22945487548075302,0.5957860402402928,0.45216941925633297,0.48882981911289336,0.4437285662880833
all,100,1,0.5678362156268464,0.42568579778184906,0.5507349276560478,0.22597524846544195,0.5975039046374682,0.43826420162934004,0.4794487772760335,0.4390445449715805
all,1,2,0.2990562826208144,0.1937416051928894,0.5090023800880272,0.14292506515094813,0.6019255476957733,0.5168288197684525,0.42280871530940234,0.3507110947904079
all,2,2,0.3672080003368332,0.23452700435425036,0.524137053999036,0.15245715533711096,0.6169665279286899,0.5223535299928118,0.43976827895147913,0.3777580739315496
all,3,2,0.4166913761015554,0.2572638875229677,0.5517055018268694,0.15781307662461339,0.6262154978950261,0.5295809313314777,0.4586383124157721,0.3913860542934008
all,4,2,0.44915467040567353,0.27113637474506463,0.5506545197726217,0.1615857621125126,0.6266503118746275,0.5372501854507395,0.4738574329274002,0.39751438904790765
all,5,2,0.46849447139408806,0.28637165472371356,0.5594617720974246,0.1635491606069316,0.6453638098563661,0.5411116001559726,0.4773802594054672,0.40613348747406985
all,6,2,0.4781925831392138,0.29219776422118054,0.5593821589359231,0.16726291348778424,0.6416339122542657,0.5417561402796061,0.48700583306488915,0.41171249701529194
