nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
1,all,1,29204,36246,29623,259315,199676,551181,274676,4316946
1,all,2,47746,26643,36382,293492,252752,619287,339093,7197495
1,all,3,36388,35489,38615,403719,153169,412754,408954,7327220
1,all,4,38423,44842,21728,402051,183755,605311,442115,7638363
1,all,5,46413,34401,24120,538362,206692,467739,460694,7463242
1,all,6,46371,54057,21711,477576,206670,343953,617488,7629943
1,all,7,35447,40583,24113,771975,160762,343921,774929,8304699
1,all,8,32648,33898,24110,574746,214275,412665,714641,9659110
1,all,9,38018,37172,26512,514659,145421,453912,576384,7456312
1,all,10,32585,43538,21702,594067,114817,398895,556176,8301780
1,all,20,40695,53345,28898,651443,145393,288844,713091,11178486
1,all,30,32542,69943,14437,591991,114777,330093,831765,11177734
1,all,40,43362,46624,21652,631289,53556,288819,831623,11177511
1,all,50,21670,46612,19247,631152,45923,192554,594013,8806327
1,all,60,27107,33306,19247,847975,91819,178799,673109,8467536
1,all,70,27107,76547,21652,808570,61219,192550,475168,8467627
1,all,80,27086,49910,28867,414163,38254,68764,692875,7959472
1,all,90,18962,33275,24057,591583,45904,96268,673049,8298081
1,all,100,18962,43256,24057,670476,53554,123783,395939,8298045
1,unweighted,1,72847,78749,82514,773935,322318,661249,910580,10346551
1,unweighted,2,99081,96502,84588,847672,313959,729379,833585,10596673
1,unweighted,3,106461,95144,91562,939451,336767,687858,966625,10881242
1,unweighted,4,111601,97725,53046,836917,321456,784094,979943,11205478
1,unweighted,5,97905,104106,60234,872406,329089,825340,1034707,11193771
1,unweighted,6,124898,127124,65010,989883,313766,674058,855542,11191317
1,unweighted,7,81541,110465,55411,949532,306115,632751,1111470,11186775
1,unweighted,8,108669,93638,55378,889540,321447,646461,873352,11183441
1,unweighted,9,116647,136818,45755,929005,313724,783972,1091379,11185017
1,unweighted,10,113914,140031,60185,1027379,329024,701451,1071336,11182681
1,unweighted,20,105687,126544,57763,986544,306043,660145,970800,11179854
1,unweighted,30,108360,129810,67377,946774,267781,742647,1108992,11178016
1,unweighted,40,83979,129796,89015,1104451,145356,673881,990059,11177592
1,unweighted,50,83975,136447,96231,1025561,175973,508847,1009723,11177333
1,unweighted,60,37918,129786,91413,946556,244819,577609,1049292,11177201
1,unweighted,70,56874,73221,79369,1281761,130054,577603,1088876,11177090
1,unweighted,80,59582,76544,158735,1301445,168319,591355,1108552,11177097
1,unweighted,90,51458,123122,86609,1123951,168304,330052,1009587,11176996
1,unweighted,100,64998,133106,101041,1262019,191254,605103,950184,11176912
1,queue,1,10752,15692,8185,90110,38258,83443,104252,950330
1,queue,2,9335,11048,8710,71942,41974,98925,78866,924020
1,queue,3,9888,11186,8290,70328,40063,91171,77391,1208284
1,queue,4,9880,11091,6989,75650,40389,97947,86691,1341199
1,queue,5,10461,11097,6776,84821,41204,110746,89429,1515351
1,queue,6,11167,11392,6830,82435,49649,104158,94402,1710950
1,queue,7,10084,10691,6529,96139,44367,86553,106006,1839500
1,queue,8,9240,10922,7036,86966,50974,98650,105752,1851442
1,queue,9,9732,10636,7771,93125,35029,96436,104768,1983095
1,queue,10,10189,11673,7654,102788,33519,103370,110533,2106779
1,queue,20,9454,12127,10691,106395,37561,91240,134715,2449826
1,queue,30,9530,19310,9158,128293,40716,94234,149193,2893901
1,queue,40,15001,12033,11409,152846,27974,124327,136762,3106180
1,queue,50,11142,16598,13683,159953,24229,85441,155449,3122562
1,queue,60,11775,12468,15109,189289,28152,56830,141149,2963488
1,queue,70,10340,16842,17070,212930,24186,69043,152101,3325315
1,queue,80,14682,23280,19055,133802,24392,38801,179425,3662336
1,queue,90,11769,20452,19715,132818,25049,47967,171053,3646456
1,queue,100,11047,21781,20029,194450,28571,44248,124277,3200974
1,ps,1,12340,16797,16419,116248,79166,176400,111278,1453321
1,ps,2,15646,16667,19655,123580,99698,192669,127503,1864045
1,ps,3,19907,19631,23582,149306,99536,207153,154306,2263068
1,ps,4,22548,22717,20755,165921,89664,231202,175909,2600179
1,ps,5,23810,24263,20657,187471,93578,218047,192395,2820169
1,ps,6,24107,27340,19376,200084,101914,226165,209399,3024663
1,ps,7,27826,28424,22665,216273,90575,246512,224127,3212119
1,ps,8,27655,29263,20199,227079,110629,218668,232447,3341987
1,ps,9,26286,31061,19574,238119,100739,245436,244287,3453081
1,ps,10,30342,31934,22399,254165,117638,242876,251048,3555260
1,ps,20,33403,41593,28433,316051,112499,251179,295002,4084214
1,ps,30,33675,40126,42153,323228,101582,254766,329035,4363926
1,ps,40,36038,50640,51663,333565,97843,292291,365103,4527781
1,ps,50,36681,44182,54961,389008,101562,254102,359073,4606540
1,ps,60,30376,46447,67687,356341,112399,284622,362694,4630916
1,ps,70,32937,41228,52974,390680,95692,304121,370125,4687502
1,ps,80,34986,39017,74855,396212,106687,269717,379937,4783807
1,ps,90,36459,61303,77290,381122,127622,235571,436943,4658940
1,ps,100,41269,48000,79145,430047,133626,290438,401490,4668200
2,all,1,26239,37192,32072,299662,215076,386043,328039,5056842
2,all,2,34265,40323,31560,278031,199209,605505,358732,7217515
2,all,3,36371,35263,38627,367589,160813,536851,629872,7656545
2,all,4,35858,38146,28949,442997,176134,468028,506092,7472861
2,all,5,43710,31093,26528,517443,183763,302737,460686,10342484
2,all,6,40964,37541,19328,753477,237274,440235,716937,9153179
2,all,7,40867,33937,24113,752727,153126,412681,735670,9320438
2,all,8,38123,34398,24110,515887,153121,426444,556983,9659661
2,all,9,32679,33831,29036,652814,267840,440168,793814,9996651
2,all,10,35336,40227,21867,751290,160737,343937,773539,8810032
2,all,20,40667,50018,16874,572529,145401,343905,733139,8807557
2,all,30,37952,69927,21676,710192,91806,385101,653569,11177710
2,all,40,46070,43300,21652,434063,53556,316329,554547,8129239
2,all,50,29815,46617,19247,670572,53555,220055,633547,9822420
2,all,60,27107,96516,21652,552213,91819,178808,475243,8806478
2,all,70,29815,73221,24057,532470,38254,192550,811639,11177057
2,all,80,27086,49928,26462,571925,38254,151306,435533,10499644
