nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
1,all,1,9,8,12,11,26,40,11,23
1,all,2,17,7,15,14,33,45,16,42
1,all,3,13,10,16,20,20,30,20,43
1,all,4,14,13,9,20,24,44,22,45
1,all,5,17,10,10,27,27,34,23,44
1,all,6,17,16,9,24,27,25,31,45
1,all,7,13,12,10,39,21,25,39,49
1,all,8,12,10,10,29,28,30,36,57
1,all,9,14,11,11,26,19,33,29,44
1,all,10,12,13,9,30,15,29,28,49
1,all,20,15,16,12,33,19,21,36,66
1,all,30,12,21,6,30,15,24,42,66
1,all,40,16,14,9,32,7,21,42,66
1,all,50,8,14,8,32,6,14,30,52
1,all,60,10,10,8,43,12,13,34,50
1,all,70,10,23,9,41,8,14,24,50
1,all,80,10,15,12,21,5,5,35,47
1,all,90,7,10,10,30,6,7,34,49
1,all,100,7,13,10,34,7,9,20,49
1,unweighted,1,25,21,34,37,42,48,44,58
1,unweighted,2,36,28,35,42,41,53,41,62
1,unweighted,3,39,28,38,47,44,50,48,64
1,unweighted,4,41,29,22,42,42,57,49,66
1,unweighted,5,36,31,25,44,43,60,52,66
1,unweighted,6,46,38,27,50,41,49,43,66
1,unweighted,7,30,33,23,48,40,46,56,66
1,unweighted,8,40,28,23,45,42,47,44,66
1,unweighted,9,43,41,19,47,41,57,55,66
1,unweighted,10,42,42,25,52,43,51,54,66
1,unweighted,20,39,38,24,50,40,48,49,66
1,unweighted,30,40,39,28,48,35,54,56,66
1,unweighted,40,31,39,37,56,19,49,50,66
1,unweighted,50,31,41,40,52,23,37,51,66
1,unweighted,60,14,39,38,48,32,42,53,66
1,unweighted,70,21,22,33,65,17,42,55,66
1,unweighted,80,22,23,66,66,22,43,56,66
1,unweighted,90,19,37,36,57,22,24,51,66
1,unweighted,100,24,40,42,64,25,44,48,66
1,queue,1,8,8,11,10,27,34,10,23
1,queue,2,18,7,11,10,30,34,15,34
1,queue,3,11,9,14,16,17,27,24,34
1,queue,4,12,11,7,18,18,34,23,34
1,queue,5,12,8,8,29,25,30,20,34
1,queue,6,15,12,8,25,23,34,25,34
1,queue,7,9,9,7,34,18,22,34,34
1,queue,8,10,7,7,26,24,25,34,34
1,queue,9,10,8,9,23,14,23,22,34
1,queue,10,9,10,8,28,13,23,25,34
1,queue,20,9,9,11,20,14,17,27,34
1,queue,30,9,19,6,19,14,16,34,34
1,queue,40,14,10,9,26,7,16,22,34
