neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
unweighted,1,0.42647138953709973,0.31489805075569377,0.5652019511904225,0.1952406441365515,0.6592543893178645,0.4612958939596775,0.4606430440411496,0.2627917572353734
unweighted,2,0.4536201769428344,0.27667267950633007,0.5656004048878832,0.20776871922837883,0.6388156796058969,0.4183724979519512,0.3953256338944427,0.2544189184291091
unweighted,3,0.4543644229840122,0.27991982843802915,0.5529805413971796,0.2153800035439652,0.639082630064614,0.4006878886925167,0.3764681554274683,0.21519857002229326
unweighted,4,0.4181537342734128,0.2818095058038026,0.566979674654502,0.1937263961422732,0.710253906535505,0.4567056776308408,0.43123354368144917,0.21290084505452705
unweighted,5,0.4507310439265242,0.3088441430862145,0.5584860903617391,0.18553610504149692,0.697900659327082,0.5030475722249828,0.34484881242926324,0.2036214573532318
unweighted,6,0.47263789196725337,0.2752357867033375,0.5583148339892167,0.2087124790311522,0.7096070241980893,0.457370755992325,0.33298615222204286,0.23394204750662645
unweighted,7,0.41830169148834323,0.31718124890377447,0.5521982224438451,0.1892702106233705,0.7134465843725288,0.4713302061349931,0.33734429636052427,0.20474012912818182
unweighted,8,0.4488516291438784,0.29960328783783025,0.5598871552593726,0.1853248253473378,0.7296376744093659,0.47086238542231457,0.295629577766087,0.19575839728816596
unweighted,9,0.45986781398716114,0.2638105818922559,0.5707003801887459,0.17175187179248158,0.611701274048748,0.5210408737437802,0.30781355174324354,0.2411177231652702
unweighted,10,0.44314030696280043,0.2711500430724773,0.5573424608844787,0.16812918061542523,0.6877990492459383,0.49402973834528374,0.2936700422564477,0.19003161367931817
unweighted,20,0.4713770430037408,0.2634624885195472,0.5242573625151977,0.17093755805411673,0.6587303404266883,0.4352116555776325,0.21650451378252422,0.13595431608012937
unweighted,30,0.47468001061018095,0.24769603421959444,0.3780526807949241,0.1933852415933585,0.6494873879566563,0.4654542801534376,0.35252448333013364,0.1893396437365889
unweighted,40,0.49745470037244366,0.2410194564400465,0.30021627083957525,0.1860425327762943,0.6571254078165379,0.4120039501755552,0.2693434412639389,0.16254342494296356
unweighted,50,0.5499101452218161,0.27371017695573036,0.25790119918897747,0.22305548965665903,0.5722412119228755,0.4309054625121161,0.305888529613022,0.19129106562711948
unweighted,60,0.4333570566977568,0.25751097796200184,0.19802717022235067,0.21646019673522318,0.5201383480431881,0.4259840259377695,0.2621290158203909,0.15473263167344048
unweighted,70,0.4168649092151332,0.27210618428026895,0.1375998668827838,0.22064707458000316,0.5038471716377514,0.3614384138324289,0.29588073762733397,0.15876774643274472
unweighted,80,0.3227557717285693,0.24682375063562423,0.206033144409013,0.24842301676240244,0.34569907408426187,0.4215687803514169,0.30859018620832646,0.10187080381081423
unweighted,90,0.31001673564605847,0.2414861680921063,0.18458196212298886,0.2241454788151206,0.2369635735195345,0.2738391040645053,0.27649521988029335,0.14546991588650365
unweighted,100,0.29769239172149087,0.26037617834081833,0.17053825848614387,0.2213478784282602,0.24219199519049328,0.34336225065400106,0.4020135932810983,0.160185518226881
weighted,1,0.4079585944579334,0.3220826595927734,0.5482866052584725,0.1799801972291556,0.526898165336692,0.4659777390879283,0.5456038373337275,0.3791051563349499
weighted,2,0.4318391559089601,0.3133866214307678,0.5527480355573007,0.19043138360370337,0.5728052697564547,0.4932615939887955,0.5449697244658157,0.392123409822835
weighted,3,0.45814883195511236,0.31476632607655064,0.565005138304246,0.20144071538070155,0.6011337192154522,0.49830470876487826,0.543441510487331,0.40116300394327375
weighted,4,0.4678785991446231,0.315359370058959,0.5806748655945709,0.21034033315168157,0.6076323436256063,0.5280837912321446,0.541173119584376,0.40740769835384055
weighted,5,0.4900629581719335,0.3151644413582448,0.5756310375693704,0.22235147290711332,0.6394391711353609,0.5118530914616496,0.5418866538658542,0.41427463379669144
weighted,6,0.4852977965105022,0.31982195109678846,0.5696285719045558,0.22937070615804234,0.6240783592898591,0.52390903163582,0.5426173429592082,0.4183272692132767
weighted,7,0.49937051303540875,0.3197739321502225,0.5843591139310543,0.22958407734203307,0.638303225618194,0.5252485295798561,0.543283674365191,0.4219849625854701
weighted,8,0.5046775721855621,0.3248287565472574,0.5730650854989008,0.2363178054130112,0.6499873432349946,0.517812205443279,0.5433342739665277,0.4230067669726029
weighted,9,0.4988182332801053,0.32124642974952716,0.5756579897692551,0.23553403335750125,0.6587678568494656,0.5180125280662984,0.5450801759894959,0.42278472356861485
weighted,10,0.5004889648440588,0.3304533014992915,0.5694568813118738,0.24391567103588885,0.6738310608533713,0.5203546407881892,0.5448538450394251,0.42529440971531113
weighted,20,0.5359241467477825,0.3530403757856179,0.5696210845553621,0.2530982920462091,0.6826192073905242,0.5015007479097718,0.536063311924538,0.43515356386197424
weighted,30,0.549596917333358,0.3741054556153532,0.5112902152050742,0.25936628967916614,0.6913539413142231,0.5001483679310863,0.5266345472565328,0.440088817848343
weighted,40,0.576443916776816,0.39461418787142344,0.507884438431817,0.2633194520802363,0.674287697056633,0.5259330302967203,0.5215223098480278,0.4423637718229478
weighted,50,0.5826407319884775,0.40644297497461607,0.4827111918186861,0.2653149324786662,0.6729372181905098,0.5277982286425765,0.5140057990347665,0.4405456332508108
weighted,60,0.5771033187882004,0.4135221207246086,0.48484692368385385,0.26406357544506304,0.5851726336003008,0.45790271978046976,0.5111596159743553,0.4413237924526824
weighted,70,0.5784584123655813,0.42444055452446106,0.4259747245249011,0.26546609380876424,0.5940776436196067,0.45672058048593844,0.5078163624499512,0.4430587852869435
weighted,80,0.5770180376531969,0.42755104081524364,0.48388775887697755,0.26685612375385204,0.5944442698414916,0.4418164067872014,0.5023160378728904,0.4430587852869435
weighted,90,0.5681447755421298,0.42462683148964747,0.4526777313309236,0.2729842513940258,0.5957857462578109,0.4386545081930379,0.5012823887525788,0.4430587852869435
weighted,100,0.5687327588983814,0.4262488363315251,0.4533343090781618,0.2771086833145261,0.5972770026078074,0.438326776771467,0.4977609590558205,0.4430587852869435
queue,1,0.43982398027568115,0.31594618868058527,0.5813336831898893,0.22996853949021007,0.664883132975836,0.539714819713799,0.5175025002173911,0.4319620518496266
queue,2,0.48756265502010654,0.30924465519012206,0.5955561437409248,0.25050778405125446,0.6923147908053361,0.5426694077479254,0.505305512662196,0.43959189064312204
queue,3,0.5084162957887652,0.31724174818840906,0.5829323170892076,0.2550019479167686,0.6977848747595032,0.5548049082352972,0.502081372087483,0.43715752748822767
queue,4,0.5126107767623327,0.3180197758223675,0.5785607840380238,0.25959536577229736,0.6854083599195889,0.569636539631675,0.5021164833215073,0.4440124800386552
queue,5,0.5244988116750067,0.3359933973557375,0.5843292475111492,0.2650257846233594,0.7166381360403888,0.5561333441216488,0.499597105176436,0.4346788397982108
queue,6,0.5286813189189633,0.34432169248567196,0.5728739061394396,0.2650965910150475,0.7472094127512613,0.5558345199742281,0.49481034373500643,0.44023199557357057
queue,7,0.529734229228535,0.34615864361541854,0.5721285803097472,0.26683333610496884,0.7242243793006766,0.5613459611419579,0.4851996706831236,0.4369836905381194
queue,8,0.5552572726337652,0.35320457454881055,0.5916632489566197,0.2569105159518976,0.7267805621574173,0.5473618993327921,0.49071030365124807,0.43864690137006845
queue,9,0.5504326739544849,0.35367062211386957,0.570832895196008,0.264192130871017,0.7498216427670956,0.5370514990790816,0.4821498247655497,0.44291072021313693
queue,10,0.5389242733536448,0.36290983787785247,0.5708398876308315,0.25257482538161674,0.7486894967343228,0.5324574722640996,0.4874561013352202,0.4398476188924625
queue,20,0.5947712422282901,0.4025689942904921,0.5481329659333443,0.2759724772354025,0.6918628487866599,0.5379446760724542,0.4753941232705931,0.4473164667152674
queue,30,0.5829931799203761,0.3944592909170395,0.48120039919246055,0.26203764124830314,0.6914195767288043,0.5064282234882242,0.48390881973157646,0.4520846968379539
queue,40,0.5879741326649098,0.38756307989501315,0.49253345690536515,0.2687285941642691,0.6592048558169541,0.506547552843947,0.4575232492571101,0.44550210163634774
