neighbor_modes,rates,nthreads,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
all,1,1,0.40365125373234884,0.3383054087811666,0.543180007794691,0.174723781533124,0.6035177700657528,0.5089261762568873,0.5675405009264212,0.4139066267205902
all,2,1,0.4312325989418391,0.3329554992424719,0.561129272719356,0.17015672522940825,0.6043781220931493,0.5247286610373196,0.5590654500121254,0.4093908331432245
all,3,1,0.4478734028622157,0.3268104150661566,0.5641545862645506,0.17031707762933548,0.6260748713362051,0.530553500886853,0.5536533121035973,0.4140506092675337
all,4,1,0.4691530354143166,0.32679508699458865,0.5635926570027922,0.16989680853483513,0.628581390093731,0.5412324989954025,0.5489882441510895,0.41359890869272464
all,5,1,0.47818421505034137,0.32888381718395887,0.5644245860809901,0.17027227746158305,0.642070228448158,0.5288819938167243,0.5500650699748107,0.418227503774193
all,6,1,0.48560526044730307,0.324377215680731,0.5756749151308242,0.17176712717111495,0.6468013712590155,0.5328070060172672,0.5486867403800816,0.4216037061869415
all,7,1,0.502985379875345,0.3259931786917153,0.5820694783342132,0.17352188771880164,0.6454882501860361,0.5353359178837154,0.5481065998098662,0.4230118610852274
all,8,1,0.5000688287583156,0.3259846706966357,0.5741513354433472,0.17520990528666724,0.653535123944027,0.5460179438859926,0.545771021793937,0.4272133308814073
all,9,1,0.5016426438111595,0.3259896808961638,0.5739879423366435,0.17534064275340272,0.674041350040379,0.5371352563696676,0.5452840309053548,0.43198485040718143
all,10,1,0.498731070296877,0.32802025954043806,0.5688057822321096,0.17920088152129213,0.6672080733968722,0.5413354893032079,0.5441644915809065,0.42810058020116837
all,20,1,0.537186058806595,0.35812739001919686,0.5697272688403834,0.19337619563866051,0.6772500659975093,0.5252492973483798,0.5377431025811894,0.43137141115667166
all,30,1,0.5453892531599309,0.377868532747103,0.5653666852904548,0.20426402933959573,0.7120462671239995,0.5111788630839428,0.5272674729766569,0.4350884822914646
all,40,1,0.5827190046830407,0.38582175062516194,0.562118293369619,0.2033136115216511,0.697123713008733,0.5350555890897547,0.5212022715170049,0.4441157306123197
all,50,1,0.5808650693536151,0.4085459178799934,0.529809741381756,0.20868335403481422,0.6722906127792267,0.5289497615203553,0.5133018849982404,0.43658566777978836
all,60,1,0.5802365459776316,0.41019373495107375,0.5553909907533452,0.22182276132166417,0.6727360991042304,0.4579735756603738,0.5105016424581194,0.4391056875990627
all,70,1,0.5766161215195416,0.40899442772171235,0.5599954623726413,0.21783743410814085,0.6421495219195463,0.5029430198609031,0.5054677192806599,0.4407305175203367
all,80,1,0.5759628220170346,0.4244489123292315,0.5578383827944958,0.22363010621872878,0.594397691832394,0.4577425715974011,0.5015525081812741,0.4447515722308777
all,90,1,0.567104885302369,0.424166393558988,0.5576284556539269,0.2298535481246569,0.5961239404152415,0.4525936335478328,0.495370650625276,0.44455474259170935
all,100,1,0.5691871230198008,0.4267192421918049,0.5572583915397407,0.22637192401113798,0.5978404152179241,0.4386062742662564,0.48485516025654624,0.43992117982371637
all,1,2,0.4060816001839184,0.33763685601685334,0.5502579075458572,0.1721949699327563,0.6061416108594211,0.521732767303032,0.5693500837921291,0.41372533252862975
all,2,2,0.428311911655638,0.3329731899438879,0.5504010154686937,0.1708078218780056,0.6197387347788915,0.5256253767043522,0.5608288403984009,0.4148447361178223
all,3,2,0.4508568051410387,0.32707659596608796,0.5681482549839587,0.16977066300838717,0.628241325912395,0.5319847226315224,0.5554948445063593,0.41642552371897534
all,4,2,0.47113539681772576,0.32554953871971337,0.5644276486728179,0.17056608755774813,0.628607597739604,0.5393986280319805,0.5510916295951298,0.41617886383752317
all,5,2,0.48535178469648727,0.32912944438665764,0.5716459536954057,0.17016861426730112,0.6469489453137209,0.5427840444692947,0.5469040369174099,0.42076458613209294
all,6,2,0.4909132495326057,0.32773738226852533,0.5696521438919739,0.17273500271955672,0.6432980262165539,0.5433073403071187,0.5478509909885416,0.42372481762055386
all,7,2,0.49585864353966397,0.32696334858386955,0.5699748739021901,0.17415333011903814,0.6451897507898345,0.5307501040778433,0.5478384948859996,0.42378133505171933
all,8,2,0.4944769496167747,0.3276597989410874,0.5651875140426093,0.17440375217199794,0.6656684248293154,0.5346355198007615,0.5462492277641882,0.42574796012572913
all,9,2,0.5079682730155906,0.3302198532744939,0.567584832197555,0.17801158470902229,0.6686761368124472,0.541033528260847,0.5450039674855509,0.42948733615948453
all,10,2,0.5063283524192621,0.3315418374829894,0.5645776543786102,0.17812034981452707,0.6686322276095203,0.5477884382577235,0.5465084834932146,0.42506836917770363
all,20,2,0.5362419297121596,0.35252692534382013,0.5697272688403834,0.19511286143350254,0.6668765295316406,0.5028121736718137,0.5374854857182543,0.4365382222051441
all,30,2,0.5668875251139273,0.36790289560575234,0.5450978810260314,0.19791078486728744,0.7005523783034384,0.49210913094212094,0.528531689168264,0.43511770859068677
all,40,2,0.580251573742473,0.39072879208553146,0.5370811072416641,0.20757337105819426,0.617615216780668,0.5044248486179993,0.5199743464138944,0.4363677048014397
all,50,2,0.582485997610793,0.4030600230869263,0.5324939609963218,0.21061351476812512,0.6728382953281707,0.4973335571443301,0.5154508098021489,0.44140709470514883
all,60,2,0.5774773687829297,0.3817276369449143,0.5252668479951051,0.21284522644937443,0.6727360991042304,0.5029419312998488,0.5122014752531949,0.44424491426213814
all,70,2,0.5769419722101587,0.3906086645360335,0.5260215042969153,0.21767487887487078,0.6421495219195464,0.45706590946056236,0.5086914080928834,0.4455505436749409
