nthread,neighbor_modes,rates,cora,citeseer,wiki,pubmed,amazon-photo,amazon-computers,cora-full,ogbn-arxiv
1,all,1,0.0025201638539631664,0.0024236043294270336,0.004750490188598567,0.029265721638997336,0.0432039896647135,0.10529708862304679,0.0288318792978922,0.7836563587188721
1,all,2,0.0043861071268717,0.0038630167643228666,0.0073034763336181,0.045760154724121066,0.0604334672292073,0.16304262479146317,0.041934569676717104,2.2308218479156494
1,all,3,0.005441347757975234,0.0047704378763834335,0.0082972049713134,0.06636865933736164,0.09464406967163083,0.19659304618835444,0.06054655710856113,2.8725372950236006
1,all,4,0.0063986778259277,0.0060369173685709335,0.010184446970621699,0.10523160298665361,0.09440485636393223,0.22159830729166663,0.09667984644571932,3.325457811355591
1,all,5,0.006688912709553968,0.006861925125122034,0.0116649468739827,0.135385513305664,0.0979053179423014,0.3308465480804443,0.11454621950785313,3.7451945940653486
1,all,6,0.007603645324707,0.0076462427775064665,0.010736624399820933,0.12193218866984046,0.12611683209737135,0.3407050768534342,0.122792641321818,4.166353225708008
1,all,7,0.008258740107218367,0.009590387344360334,0.013067086537678999,0.16883293787638343,0.1361420154571533,0.3473292191823323,0.1544092496236165,4.5298058191935215
1,all,8,0.010994116465250567,0.0108006000518798,0.010458628336588466,0.17584212621053055,0.15286072095235187,0.4189565181732178,0.165561040242513,4.927624464035034
1,all,9,0.011472860972086534,0.0118211110432942,0.014081796010335233,0.19245759646097813,0.12334783871968583,0.4703715642293294,0.19099863370259595,5.235121409098308
1,all,10,0.011510690053303966,0.012051423390706336,0.012819290161132767,0.21162009239196775,0.11833985646565753,0.5117220083872477,0.1812756061553955,5.565587282180786
1,all,20,0.019457022349039666,0.01884229977925613,0.021759033203124965,0.29235410690307617,0.20727849006652832,0.6814030806223551,0.28266835212707514,8.953727165857952
1,all,30,0.027589003245035736,0.031050602595011363,0.026215632756551033,0.41002233823140466,0.26914087931315106,0.9676905473073323,0.38346902529398597,12.391632080078125
1,all,40,0.0332373778025309,0.030976295471191365,0.035078366597493464,0.7183132966359457,0.30244223276774085,1.7432827949523926,0.5473453998565674,15.351651350657146
1,all,50,0.02693398793538407,0.033639113108317,0.0512791474660237,0.7720462481180826,0.37780491511027015,1.4510428110758462,0.60044264793396,19.121739546457924
1,all,60,0.029248634974161733,0.037907520929972266,0.06180342038472486,1.1596612930297852,0.4677213827768961,1.0724272727966309,0.5690813859303792,22.16833472251892
1,all,70,0.03710246086120603,0.061504046122233036,0.08347686131795244,1.3170428276062012,0.40143950780232746,1.2965761025746665,0.6316407521565754,24.751121600468952
1,all,80,0.044770161310831634,0.052600383758544866,0.09750127792358394,1.3134018580118816,0.47459959983825684,1.8911017576853437,0.890430212020874,30.168649752934776
1,all,90,0.04376125335693353,0.07252995173136391,0.09298928578694655,1.4068554242451987,0.6084080537160237,1.3947374820709229,0.7495105266571045,30.74193024635315
1,all,100,0.04240822792053217,0.08121713002522783,0.1083389123280843,1.1395965417226157,0.7564065456390381,1.6962252457936604,0.7449580033620198,33.93247699737549
2,all,1,0.004396756490071567,0.004481077194213833,0.006160736083984333,0.02930188179016107,0.05056381225585933,0.09276731808980304,0.03245608011881503,0.5559723377227783
2,all,2,0.005421002705891867,0.007347186406453399,0.0117704073588053,0.05623054504394527,0.057496627171834264,0.11007817586263016,0.051973740259806264,1.4416422843933105
2,all,3,0.0088233153025309,0.010463317235310833,0.0139970779418945,0.06712500254313143,0.06553276379903153,0.1705111662546793,0.06235766410827634,2.0649591286977134
2,all,4,0.011087894439697233,0.013621171315511,0.014943202336629168,0.0809700489044189,0.07525459925333652,0.1795106728871663,0.08170763651529943,2.5383469263712564
2,all,5,0.015595992406209232,0.016680320103963135,0.017866611480712835,0.09470725059509275,0.10947402318318683,0.17261274655659992,0.1058572133382161,2.951597134272258
2,all,6,0.015513896942138599,0.0160757700602213,0.01971777280171707,0.11320265134175614,0.10173416137695306,0.19024292627970377,0.12827610969543454,3.3290399710337324
2,all,7,0.0210192203521728,0.015163421630859333,0.028237342834472597,0.16249553362528482,0.12367518742879226,0.2628327210744221,0.133337656656901,3.7156135241190587
2,all,8,0.0193152427673339,0.0214873154958089,0.018567482630411733,0.13993255297342932,0.1087412039438883,0.2519302368164062,0.1101729075113932,4.044139464696249
2,all,9,0.0227537949879964,0.022399584452311137,0.025198141733805298,0.18296655019124342,0.1313058535257975,0.3004830678304036,0.15946571032206214,4.345312277475993
2,all,10,0.031004587809244734,0.0251735846201578,0.027149677276611266,0.16146047910054523,0.0922799905141194,0.3606193860371907,0.1388155619303385,4.614528338114421
2,all,20,0.03473965326944983,0.034433126449584905,0.0343528588612874,0.26587073008219403,0.15750281016031897,0.45539673169453937,0.17494400342305497,6.961169481277466
2,all,30,0.03748663266499833,0.03928883870442703,0.03908212979634597,0.3242662747701009,0.1798001925150553,0.6057546933492024,0.23376830418904615,9.056156873703005
2,all,40,0.0406649907430013,0.04456766446431473,0.04671915372212723,0.44547200202941895,0.17612115542093906,0.9184633096059163,0.32570799191792804,11.445799589157104
2,all,50,0.04021620750427243,0.038170576095581,0.051837205886840806,0.5283772945404053,0.22935096422831214,0.6963872114817302,0.3756132920583089,13.464099725087486
2,all,60,0.03980906804402667,0.05363488197326653,0.054406007130940695,0.5938927332560221,0.30562623341878253,0.7463603814442952,0.48118511835734046,15.82415453592936
2,all,70,0.03613384564717607,0.04916246732076003,0.0701398849487304,0.7798945109049479,0.2558216253916422,0.7783738772074382,0.47431723276774085,17.583956480026245
2,all,80,0.04618589083353673,0.04751475652058913,0.06571618715922033,0.7193116346995037,0.3118291695912679,1.0392645200093586,0.546930472056071,19.741623163223267
