nthread,neighbor_modes,dataset,coarsen,move,refine
1,all,uk-2007-05-edgelist,20836.0,912849.6666666667,184183.0
1,unweighted,uk-2007-05-edgelist,22206.0,989852.6666666667,926682.0
1,queue,uk-2007-05-edgelist,23417.0,139626.0,1195.6666666666665
1,ps,uk-2007-05-edgelist,26577.0,431718.6666666666,1294.0
1,all,com-orkut,1481.6666666666667,53504.66666666667,22447.0
1,unweighted,com-orkut,2218.3333333333335,83703.66666666667,52553.66666666667
1,queue,com-orkut,1479.0,16968.666666666664,10.0
1,ps,com-orkut,2256.0,77384.66666666667,239.33333333333331
32,all,uk-2007-05-edgelist,9447.0,68545.33333333333,10803.333333333334
32,unweighted,uk-2007-05-edgelist,8870.333333333334,85977.0,43439.666666666664
32,queue,uk-2007-05-edgelist,9241.0,13806.0,648.6666666666666
32,ps,uk-2007-05-edgelist,12782.666666666666,50288.33333333333,591.3333333333334
32,all,com-orkut,1317.0,5359.0,3716.333333333333
32,unweighted,com-orkut,1053.0,9762.0,4202.333333333333
32,queue,com-orkut,1701.3333333333333,2338.6666666666665,6.0
32,ps,com-orkut,1111.6666666666667,9545.666666666666,426.66666666666663
