nthread,neighbor_modes,rates,dataset,coarsen,move,refine
1,all,1,cora,0.0,0.0,0.0
1,all,2,cora,0.0,1.3333333333333333,0.0
1,all,3,cora,0.0,1.6666666666666665,0.0
1,all,4,cora,0.0,3.333333333333333,1.0
1,all,5,cora,0.0,3.333333333333333,1.0
1,all,6,cora,0.0,4.0,1.0
1,all,7,cora,0.0,4.666666666666667,1.6666666666666665
1,all,8,cora,0.0,3.333333333333333,1.3333333333333333
1,all,9,cora,0.0,4.666666666666667,2.0
1,all,10,cora,0.0,4.333333333333333,2.0
1,all,20,cora,1.0,8.666666666666666,4.666666666666667
1,all,30,cora,1.0,10.333333333333332,10.666666666666666
1,all,40,cora,1.0,14.0,5.666666666666667
1,all,50,cora,1.6666666666666665,12.666666666666668,3.666666666666667
1,all,60,cora,2.0,17.0,6.666666666666667
1,all,70,cora,2.6666666666666665,16.0,8.0
1,all,80,cora,3.0,23.333333333333336,5.0
1,all,90,cora,3.0,17.666666666666668,4.666666666666666
1,all,100,cora,4.0,20.0,3.0
1,unweighted,1,cora,0.0,2.6666666666666665,0.0
1,unweighted,2,cora,0.0,7.333333333333334,1.0
1,unweighted,3,cora,0.0,9.333333333333334,1.0
1,unweighted,4,cora,0.0,12.0,2.0
1,unweighted,5,cora,0.0,13.0,2.0
1,unweighted,6,cora,0.0,14.0,3.0
1,unweighted,7,cora,0.0,16.333333333333336,3.0
1,unweighted,8,cora,0.0,18.666666666666664,3.666666666666666
1,unweighted,9,cora,0.0,18.666666666666668,4.666666666666666
1,unweighted,10,cora,0.0,22.0,4.333333333333334
1,unweighted,20,cora,1.0,33.0,6.666666666666666
1,unweighted,30,cora,1.0,43.33333333333333,10.0
1,unweighted,40,cora,1.0,53.333333333333336,11.333333333333332
1,unweighted,50,cora,1.6666666666666665,53.0,17.0
1,unweighted,60,cora,2.333333333333333,54.66666666666667,2.0
1,unweighted,70,cora,2.0,64.66666666666667,6.666666666666667
1,unweighted,80,cora,3.0,71.0,2.0
1,unweighted,90,cora,3.0,73.33333333333333,4.0
1,unweighted,100,cora,4.0,87.66666666666666,5.0
1,queue,1,cora,0.0,0.0,0.0
1,queue,2,cora,0.0,1.0,0.0
1,queue,3,cora,0.0,1.0,0.0
1,queue,4,cora,0.0,1.6666666666666665,0.0
1,queue,5,cora,0.0,2.0,0.0
1,queue,6,cora,0.0,2.0,0.0
1,queue,7,cora,0.0,2.6666666666666665,0.0
1,queue,8,cora,0.0,3.0,0.0
1,queue,9,cora,0.0,3.0,0.0
1,queue,10,cora,0.0,3.0,0.0
1,queue,20,cora,1.0,5.666666666666667,0.0
1,queue,30,cora,1.0,8.0,0.0
1,queue,40,cora,1.0,11.666666666666668,0.0
1,queue,50,cora,1.6666666666666665,12.333333333333332,0.0
1,queue,60,cora,2.0,15.333333333333332,0.0
1,queue,70,cora,2.0,15.666666666666664,0.0
1,queue,80,cora,3.0,19.666666666666668,0.0
1,queue,90,cora,3.0,20.333333333333332,0.0
1,queue,100,cora,4.0,21.333333333333332,0.0
1,ps,1,cora,0.0,0.0,0.0
1,ps,2,cora,0.0,2.0,0.0
1,ps,3,cora,0.0,3.0,0.0
1,ps,4,cora,0.0,4.333333333333333,0.0
1,ps,5,cora,0.0,5.666666666666667,0.0
1,ps,6,cora,0.0,7.0,0.0
1,ps,7,cora,0.0,8.0,0.0
1,ps,8,cora,0.0,9.0,0.0
1,ps,9,cora,0.0,9.666666666666668,0.0
1,ps,10,cora,0.0,11.333333333333332,0.0
1,ps,20,cora,1.3333333333333333,20.333333333333336,0.0
1,ps,30,cora,1.0,29.33333333333333,0.0
1,ps,40,cora,1.0,36.666666666666664,0.0
1,ps,50,cora,1.6666666666666665,46.333333333333336,0.0
1,ps,60,cora,2.0,50.0,0.0
1,ps,70,cora,2.0,59.0,0.0
1,ps,80,cora,3.0,66.33333333333333,0.0
1,ps,90,cora,3.0,76.66666666666667,0.0
1,ps,100,cora,4.0,89.66666666666667,0.0
1,all,1,citeseer,0.0,0.0,0.0
1,all,2,citeseer,0.0,1.3333333333333333,0.0
1,all,3,citeseer,0.0,2.0,0.0
1,all,4,citeseer,0.0,3.333333333333333,0.0
1,all,5,citeseer,0.0,2.333333333333333,0.0
1,all,6,citeseer,0.0,4.333333333333333,1.0
1,all,7,citeseer,0.0,4.0,1.0
1,all,8,citeseer,0.0,3.6666666666666665,0.6666666666666666
1,all,9,citeseer,0.0,4.666666666666667,2.333333333333333
1,all,10,citeseer,0.0,5.333333333333334,2.333333333333333
1,all,20,citeseer,1.0,7.333333333333334,4.666666666666666
1,all,30,citeseer,1.0,22.333333333333336,6.333333333333334
1,all,40,citeseer,1.6666666666666665,17.333333333333336,6.666666666666666
1,all,50,citeseer,2.0,21.0,6.333333333333334
1,all,60,citeseer,2.6666666666666665,16.0,8.666666666666666
1,all,70,citeseer,3.0,25.666666666666664,16.666666666666668
1,all,80,citeseer,3.0,37.666666666666664,5.0
1,all,90,citeseer,3.0,41.666666666666664,3.0
1,all,100,citeseer,3.333333333333333,39.0,3.0
1,unweighted,1,citeseer,0.0,3.0,0.0
1,unweighted,2,citeseer,0.0,5.0,1.0
1,unweighted,3,citeseer,0.0,8.0,1.0
1,unweighted,4,citeseer,0.0,10.0,2.3333333333333335
1,unweighted,5,citeseer,0.0,13.0,2.0
1,unweighted,6,citeseer,0.0,14.666666666666664,3.6666666666666665
1,unweighted,7,citeseer,0.0,15.666666666666668,4.333333333333333
1,unweighted,8,citeseer,0.0,17.0,4.0
1,unweighted,9,citeseer,0.0,20.0,5.0
1,unweighted,10,citeseer,0.0,23.333333333333336,6.0
1,unweighted,20,citeseer,1.0,36.0,8.666666666666666
1,unweighted,30,citeseer,1.0,46.0,11.333333333333332
1,unweighted,40,citeseer,1.6666666666666665,61.0,16.0
1,unweighted,50,citeseer,2.0,66.0,20.333333333333332
1,unweighted,60,citeseer,2.0,68.33333333333333,27.0
1,unweighted,70,citeseer,2.6666666666666665,81.33333333333333,19.666666666666668
1,unweighted,80,citeseer,3.0,86.33333333333333,12.0
1,unweighted,90,citeseer,3.0,100.33333333333333,20.666666666666668
1,unweighted,100,citeseer,3.6666666666666665,111.66666666666669,17.666666666666668
1,queue,1,citeseer,0.0,0.0,0.0
1,queue,2,citeseer,0.0,0.3333333333333333,0.0
1,queue,3,citeseer,0.0,1.0,0.0
1,queue,4,citeseer,0.0,1.0,0.0
1,queue,5,citeseer,0.0,1.3333333333333333,0.0
1,queue,6,citeseer,0.0,2.0,0.0
1,queue,7,citeseer,0.0,2.0,0.0
1,queue,8,citeseer,0.0,2.333333333333333,0.0
1,queue,9,citeseer,0.0,2.6666666666666665,0.0
1,queue,10,citeseer,0.0,3.0,0.0
1,queue,20,citeseer,1.0,5.666666666666667,0.0
1,queue,30,citeseer,1.0,11.0,0.0
1,queue,40,citeseer,1.6666666666666665,10.666666666666668,0.0
1,queue,50,citeseer,2.0,14.0,0.0
1,queue,60,citeseer,2.6666666666666665,14.666666666666668,0.0
1,queue,70,citeseer,3.0,18.333333333333332,0.0
1,queue,80,citeseer,3.0,24.0,0.0
1,queue,90,citeseer,3.0,30.666666666666664,0.0
